State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
NV,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,30,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,11,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,25,2,17,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,33,1,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,7,115,3,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,36,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,4,26,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,11,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,37,4,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,24,1,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,101,1,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,9,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,23,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,8,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,32,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,34,4,3,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,14,103,6,7,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,39,1,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,6,25,0,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,11,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,38,4,3,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,22,0,16,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,5,107,1,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,16,0,26,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,27,0,6,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,9,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,19,1,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Rate of readmission for stroke patients,READM_30_STK,0,13,0,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Rate of readmission for stroke patients,READM_30_STK,4,77,0,38,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Rate of readmission for stroke patients,READM_30_STK,0,7,0,29,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Rate of readmission for stroke patients,READM_30_STK,0,17,0,15,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Rate of readmission for stroke patients,READM_30_STK,1,8,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Rate of readmission for stroke patients,READM_30_STK,0,15,1,24,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Rate of readmission for CABG,READM_30_CABG,0,5,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Rate of readmission for CABG,READM_30_CABG,1,31,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Rate of readmission for CABG,READM_30_CABG,0,6,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Rate of readmission for CABG,READM_30_CABG,1,11,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Rate of readmission for CABG,READM_30_CABG,0,1,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Rate of readmission for CABG,READM_30_CABG,0,7,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,21,0,7,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,103,0,15,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,14,0,11,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,15,0,10,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,10,0,1,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,29,0,9,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,5,0,21
MI,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,31,20,54
ND,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,8,0,22
NV,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,11,4,13
RI,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,8,1,0
UT,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,7,1,20
ID,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,15,1,19
MI,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,21,67,21,18
ND,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,15,1,23
NV,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,20,7,5
RI,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,6,3,1
UT,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,11,14,1,17
ID,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,10,22,1,5
MI,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,31,57,32,4
ND,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,23,5,9
NV,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,14,12,9
RI,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,8,1,1
UT,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,22,18,0,3
AZ,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,44,0,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,191,2,119,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,24,0,49,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,11,1,14,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,4,111,0,55,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,31,0,28,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,52,0,51,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,8,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,25,0,24,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,4,0,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,2,53,3,17,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,14,254,9,55,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,2,74,0,17,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,25,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,28,135,0,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,2,50,5,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,97,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,14,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,5,35,0,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,20,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,2,68,1,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,17,274,5,41,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,5,83,1,6,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,26,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,30,141,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,2,60,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,5,97,1,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,15,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,3,47,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,22,0,6,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,1,49,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,195,6,81,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,26,0,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,22,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,1,100,2,38,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,37,2,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,54,0,15,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,10,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,25,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,15,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,68,6,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,15,288,18,8,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,5,83,0,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,25,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,45,113,1,8,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,2,52,4,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,4,94,3,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,14,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,47,0,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,24,0,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,57,0,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,261,1,61,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,72,0,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,26,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,7,151,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,54,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,2,96,0,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,13,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,43,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,18,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Rate of readmission for stroke patients,READM_30_STK,0,41,1,22,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Rate of readmission for stroke patients,READM_30_STK,1,220,0,95,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,74,0,20,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Rate of readmission for stroke patients,READM_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Rate of readmission for stroke patients,READM_30_STK,0,34,0,51,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Rate of readmission for stroke patients,READM_30_STK,0,19,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Rate of readmission for stroke patients,READM_30_STK,5,114,1,39,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Rate of readmission for stroke patients,READM_30_STK,0,44,0,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Rate of readmission for stroke patients,READM_30_STK,0,61,0,41,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Rate of readmission for stroke patients,READM_30_STK,0,12,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Rate of readmission for stroke patients,READM_30_STK,0,20,0,26,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Rate of readmission for stroke patients,READM_30_STK,0,8,0,16,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Rate of readmission for CABG,READM_30_CABG,1,24,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,Rate of readmission for CABG,READM_30_CABG,0,97,0,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,Rate of readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,Rate of readmission for CABG,READM_30_CABG,0,16,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,Rate of readmission for CABG,READM_30_CABG,0,4,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,Rate of readmission for CABG,READM_30_CABG,1,31,1,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,Rate of readmission for CABG,READM_30_CABG,0,16,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,Rate of readmission for CABG,READM_30_CABG,0,21,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,Rate of readmission for CABG,READM_30_CABG,0,1,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,Rate of readmission for CABG,READM_30_CABG,0,6,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,Rate of readmission for CABG,READM_30_CABG,0,2,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,44,0,16,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,174,0,81,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,38,0,21,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,17,0,1,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,136,0,14,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,47,0,7,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
